path,key_tonic,key_mode,avg_tempo,num_notes,avg_pitch,instrument_count,time_signature
data/maestro/2011/MIDI-Unprocessed_01_R1_2011_MID--AUDIO_R1-D1_04_Track04_wav.midi,E-,major,120.0,3539,67.6970895733258,1,4/4
data/maestro/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_06_Track06_wav.midi,F,major,120.0,6071,68.67600065887004,1,4/4
data/maestro/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_16_Track16_wav.midi,D,major,120.0,2762,68.27480086893556,1,4/4
data/maestro/2011/MIDI-Unprocessed_23_R1_2011_MID--AUDIO_R1-D9_03_Track03_wav.midi,C,minor,120.0,2281,61.41297676457694,1,4/4
data/maestro/2011/MIDI-Unprocessed_06_R1_2011_MID--AUDIO_R1-D2_17_Track17_wav.midi,C,minor,120.0,10138,67.83280725981456,1,4/4
data/maestro/2011/MIDI-Unprocessed_21_R1_2011_MID--AUDIO_R1-D8_09_Track09_wav.midi,C#,minor,120.0,2282,63.98729184925504,1,4/4
data/maestro/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_10_Track10_wav.midi,F,major,120.0,2426,68.93116240725475,1,4/4
data/maestro/2011/MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.midi,E-,major,120.0,1761,62.07950028392958,1,4/4
data/maestro/2011/MIDI-Unprocessed_19_R1_2011_MID--AUDIO_R1-D7_14_Track14_wav.midi,F,major,120.0,2434,68.86565324568612,1,4/4
data/maestro/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_19_Track19_wav.midi,C#,minor,120.0,7641,68.39131003795315,1,4/4
data/maestro/2011/MIDI-Unprocessed_05_R1_2011_MID--AUDIO_R1-D2_08_Track08_wav.midi,F,minor,120.0,743,63.47510094212652,1,4/4
data/maestro/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_03_Track03_wav.midi,E-,major,120.0,2745,65.15664845173042,1,4/4
data/maestro/2011/MIDI-Unprocessed_06_R2_2011_MID--AUDIO_R2-D2_07_Track07_wav.midi,B-,major,120.0,4489,71.9768322566273,1,4/4
data/maestro/2011/MIDI-Unprocessed_04_R2_2011_MID--AUDIO_R2-D2_02_Track02_wav.midi,C,minor,120.0,5108,59.866875489428345,1,4/4
data/maestro/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.midi,E,major,120.0,1321,63.8667676003028,1,4/4
data/maestro/2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_03_Track03_wav.midi,C#,major,120.0,2950,65.29627118644068,1,4/4
data/maestro/2011/MIDI-Unprocessed_01_R1_2011_MID--AUDIO_R1-D1_06_Track06_wav.midi,B,minor,120.0,5452,63.90792369772561,1,4/4
data/maestro/2011/MIDI-Unprocessed_17_R1_2011_MID--AUDIO_R1-D7_05_Track05_wav.midi,G,minor,120.0,5590,65.04239713774598,1,4/4
data/maestro/2011/MIDI-Unprocessed_06_R2_2011_MID--AUDIO_R2-D2_06_Track06_wav.midi,B-,major,120.0,6248,63.86891805377721,1,4/4
data/maestro/2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_14_Track14_wav.midi,C,minor,120.0,2884,60.512829403606105,1,4/4
data/maestro/2011/MIDI-Unprocessed_02_R1_2011_MID--AUDIO_R1-D1_08_Track08_wav.midi,A,minor,120.0,3186,61.516949152542374,1,4/4
data/maestro/2011/MIDI-Unprocessed_14_R1_2011_MID--AUDIO_R1-D6_04_Track04_wav.midi,C,minor,120.0,6678,64.53623839472895,1,4/4
data/maestro/2011/MIDI-Unprocessed_06_R1_2011_MID--AUDIO_R1-D2_16_Track16_wav.midi,C#,minor,120.0,2517,72.20818434644418,1,4/4
data/maestro/2011/MIDI-Unprocessed_07_R1_2011_MID--AUDIO_R1-D3_05_Track05_wav.midi,B,minor,120.0,5167,63.591445713179795,1,4/4
data/maestro/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,C#,major,120.0,2310,64.28398268398269,1,4/4
data/maestro/2011/MIDI-Unprocessed_23_R1_2011_MID--AUDIO_R1-D9_04_Track04_wav.midi,E,major,120.0,6599,63.844673435368996,1,4/4
data/maestro/2011/MIDI-Unprocessed_21_R1_2011_MID--AUDIO_R1-D8_10_Track10_wav.midi,F#,major,120.0,8470,65.97685950413224,1,4/4
data/maestro/2011/MIDI-Unprocessed_22_R3_2011_MID--AUDIO_R3-D7_07_Track07_wav.midi,F#,major,120.0,3165,71.79810426540284,1,4/4
data/maestro/2011/MIDI-Unprocessed_01_R1_2011_MID--AUDIO_R1-D1_02_Track02_wav.midi,D,major,120.0,1636,61.77933985330073,1,4/4
data/maestro/2011/MIDI-Unprocessed_22_R1_2011_MID--AUDIO_R1-D8_12_Track12_wav.midi,G,minor,120.0,183,64.31147540983606,1,4/4
data/maestro/2011/MIDI-Unprocessed_03_R2_2011_MID--AUDIO_R2-D1_06_Track06_wav.midi,G#,minor,120.0,1698,71.00706713780919,1,4/4
data/maestro/2011/MIDI-Unprocessed_25_R2_2011_MID--AUDIO_R2-D6_07_Track07_wav.midi,C,minor,120.0,5273,59.57178076996018,1,4/4
data/maestro/2011/MIDI-Unprocessed_23_R3_2011_MID--AUDIO_R3-D8_04_Track04_wav.midi,E,major,120.0,4731,61.09152399069964,1,4/4
data/maestro/2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_08_Track08_wav.midi,D,minor,120.0,3086,60.692158133506155,1,4/4
data/maestro/2011/MIDI-Unprocessed_12_R2_2011_MID--AUDIO_R2-D4_04_Track04_wav.midi,F#,major,120.0,2820,57.07340425531915,1,4/4
data/maestro/2011/MIDI-Unprocessed_22_R1_2011_MID--AUDIO_R1-D8_11_Track11_wav.midi,B,major,120.0,4199,63.1355084543939,1,4/4
data/maestro/2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_13_Track13_wav.midi,G,major,120.0,2805,65.55543672014261,1,4/4
